variation_id,run_number,crn_seed,final_status,years_survived,final_population,final_resources,final_health,distance_covered,disease_outbreaks,overcrowding_events,critical_rationing,normal_rationing,min_resources,max_resources,mean_resources,std_resources,total_weight,initial_population,ship_capacity,initial_resources,birth_rate,death_rate,resource_gen_rate,lightspeed_fraction,health_index,diff_initial_population,diff_ship_capacity,diff_initial_resources,diff_birth_rate,diff_death_rate,diff_resource_gen_rate,diff_lightspeed_fraction,diff_health_index
base,46,88,Success,720,8,775.8700632047478,107.80000000000001,40161613694976.07,35,2,93,172,699.4859617752222,101547.21694220198,14283.402489647277,17562.42385755328,66783.40248964727,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,47,89,Success,720,6,607.8086383101189,107.80000000000001,40161613694976.07,34,2,83,184,547.4026323478821,106783.14201889065,25161.02935465297,25758.373589330226,77661.02935465297,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,48,90,Success,720,1,252.64128480430608,107.80000000000001,40161613694976.07,37,2,103,172,249.912876708711,92628.46267430572,14811.90069127966,21690.56940470301,67311.90069127966,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,49,91,Success,720,19,1875.3034713207107,88.2,40161613694976.07,36,2,83,182,1154.385887809456,102676.5475978982,23288.112554362597,27683.542136364944,75788.1125543626,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,50,92,Success,720,3,352.70605009807224,107.80000000000001,40161613694976.07,40,2,83,183,333.36053897428053,88924.7226269336,15410.340724420934,21329.629733923248,67910.34072442094,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,51,93,Success,720,13,1234.4269400184617,107.80000000000001,40161613694976.07,47,2,93,181,828.6097502284481,94609.35183089366,16753.463583462544,22693.78859947401,69253.46358346255,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,52,94,Success,720,10,992.611502757383,88.2,40161613694976.07,30,2,92,164,517.5700565700347,100982.91895767358,15718.562261703986,21613.385272273827,68218.56226170399,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,53,95,Failed,667,0,169.93611677930426,100.0,37205272686873.836,42,2,84,130,65.48077548320336,95221.63546570294,15412.71315331792,21573.0912582269,67912.71315331792,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,54,96,Success,720,8,624.6586889040975,70.56,40161613694976.07,42,2,100,143,624.6586889040975,116634.7857266228,20612.78660875174,26008.954329413205,73112.78660875175,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,55,97,Failed,672,0,187.4402611087613,100.0,37484172781977.82,28,2,81,108,86.34682080290976,108859.08533446779,15124.458683021687,23485.420552370888,67624.45868302169,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,56,98,Success,720,5,574.7901052556738,107.80000000000001,40161613694976.07,35,2,103,183,506.1062730973463,101441.28921209785,13439.910230565716,20685.778505366292,65939.91023056571,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,57,99,Failed,699,0,177.00418454997975,100.0,38990233295539.336,31,2,79,170,77.35263504277863,101437.26085212665,18388.57542281784,22726.566599982336,70888.57542281784,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,58,100,Success,720,8,714.0563330766114,88.2,40161613694976.07,30,2,88,183,532.4342580156522,87440.37774503688,14848.40452438076,19608.644260262277,67348.40452438076,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,59,101,Success,720,10,918.189963017823,107.80000000000001,40161613694976.07,38,2,88,185,918.189963017823,79489.44756304305,17935.867847249392,21063.957279643128,70435.86784724939,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,60,102,Success,720,2,224.7814802083334,107.80000000000001,40161613694976.07,35,2,96,159,224.7814802083334,98314.3216607978,17175.294238288356,21978.72897772032,69675.29423828836,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,61,103,Failed,673,0,152.74707437191768,100.0,37539952800998.62,40,2,96,154,54.498749101789656,92120.25326150782,14423.412275320958,17349.075967233908,66923.41227532095,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,62,104,Success,720,1,266.5388192251521,107.80000000000001,40161613694976.07,37,2,100,177,157.81328505125143,108936.99583808641,15245.513077371055,22733.52548698714,67745.51307737106,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
