ship_capacity,initial_resources,resource_gen_rate,weight_mean,weight_std,success_rate,avg_resources_mean,avg_resources_std,final_pop_mean,final_pop_std,efficiency_ratio
1075,95000,104.0,93868.07,10265.38,100.0,40118.07,10265.38,124.04,93.27,0.0010653249821797762
1075,95000,105.0,118643.94,13540.29,100.0,64893.94,13540.29,390.42,214.06,0.0008428580507356718
1075,100000,95.0,66766.72,1507.81,0.0,13016.72,1507.81,0.0,0.0,0.0
1075,100000,96.0,67068.47,1630.8,0.0,13318.47,1630.8,0.0,0.0,0.0
1075,100000,97.0,67174.29,1731.65,0.0,13424.29,1731.65,0.0,0.0,0.0
1075,100000,98.0,67614.52,1886.45,0.0,13864.52,1886.45,0.0,0.0,0.0
1075,100000,99.0,67798.17,2116.81,0.0,14048.17,2116.81,0.0,0.0,0.0
1075,100000,100.0,67689.61,2242.38,1.0,13939.61,2242.38,0.03,0.3,1.4773316022946505e-05
1075,100000,101.0,68270.63,2406.46,25.0,14520.63,2406.46,1.01,2.97,0.0003661896777574778
1075,100000,102.0,71576.22,3626.41,88.0,17826.22,3626.41,8.07,6.64,0.0012294586106950044
1075,100000,103.0,79266.96,6115.55,100.0,25516.96,6115.55,31.22,22.45,0.001261559671267827
1075,100000,104.0,94003.12,10366.75,100.0,40253.12,10366.75,124.79,94.06,0.0010637944783109328
1075,100000,105.0,118514.93,13309.89,100.0,64764.93,13309.89,391.13,212.63,0.0008437755479415125
1075,105000,95.0,66769.21,1508.76,0.0,13019.21,1508.76,0.0,0.0,0.0
1075,105000,96.0,67070.69,1631.23,0.0,13320.69,1631.23,0.0,0.0,0.0
1075,105000,97.0,67176.25,1732.14,0.0,13426.25,1732.14,0.0,0.0,0.0
1075,105000,98.0,67616.19,1886.61,0.0,13866.19,1886.61,0.0,0.0,0.0
1075,105000,99.0,67799.59,2116.96,0.0,14049.59,2116.96,0.0,0.0,0.0
1075,105000,100.0,67690.79,2242.61,1.0,13940.79,2242.61,0.03,0.3,1.4773058491413679e-05
1075,105000,101.0,68271.65,2406.6,25.0,14521.65,2406.6,1.01,2.97,0.0003661842067681095
1075,105000,102.0,71577.13,3626.41,88.0,17827.13,3626.41,8.07,6.64,0.001229442979901541
1075,105000,103.0,79267.91,6115.46,100.0,25517.91,6115.46,31.22,22.45,0.0012615445518873905
1075,105000,104.0,94004.35,10367.04,100.0,40254.35,10367.04,124.79,94.06,0.0010637805590911484
1075,105000,105.0,118563.75,13369.96,100.0,64813.75,13369.96,389.96,212.7,0.0008434281135675954
1075,110000,95.0,66790.61,1509.51,0.0,13040.61,1509.51,0.0,0.0,0.0
1075,110000,96.0,67090.16,1632.32,0.0,13340.16,1632.32,0.0,0.0,0.0
1075,110000,97.0,67203.25,1746.5,0.0,13453.25,1746.5,0.0,0.0,0.0
1075,110000,98.0,67635.75,1885.83,0.0,13885.75,1885.83,0.0,0.0,0.0
1075,110000,99.0,67808.72,2117.73,0.0,14058.72,2117.73,0.0,0.0,0.0
1075,110000,100.0,67716.05,2232.0,1.0,13966.05,2232.0,0.03,0.3,1.476754772317641e-05
1075,110000,101.0,68246.12,2435.17,26.0,14496.12,2435.17,1.02,2.97,0.00038097403925673725
1075,110000,102.0,71555.75,3614.96,88.0,17805.75,3614.96,7.87,6.54,0.0012298103227203964
1075,110000,103.0,79363.36,6173.01,100.0,25613.36,6173.01,31.41,22.6,0.0012600272972313673
1075,110000,104.0,93906.61,10421.04,100.0,40156.61,10421.04,123.66,92.12,0.0010648877645567229
1075,110000,105.0,118696.74,13369.45,100.0,64946.74,13369.45,390.7,212.04,0.0008424831212719068
1075,115000,95.0,66829.61,1509.2,0.0,13079.61,1509.2,0.0,0.0,0.0
1075,115000,96.0,67104.49,1614.28,0.0,13354.49,1614.28,0.0,0.0,0.0
1075,115000,97.0,67255.32,1730.52,0.0,13505.32,1730.52,0.0,0.0,0.0
1075,115000,98.0,67680.0,1886.5,0.0,13930.0,1886.5,0.0,0.0,0.0
1075,115000,99.0,67868.84,2074.68,0.0,14118.84,2074.68,0.0,0.0,0.0
1075,115000,100.0,67703.39,2211.73,1.0,13953.39,2211.73,0.03,0.3,1.4770309138139169e-05
1075,115000,101.0,68310.89,2444.27,28.0,14560.89,2444.27,1.09,2.86,0.00040989072166970744
1075,115000,102.0,71579.29,3633.56,88.0,17829.29,3633.56,7.79,6.4,0.0012294058798292078
1075,115000,103.0,79460.32,6143.78,100.0,25710.32,6143.78,32.15,22.91,0.0012584897720019248
1075,115000,104.0,94124.88,10434.21,100.0,40374.88,10434.21,122.89,92.47,0.0010624183531495605
1075,115000,105.0,118455.89,13459.94,100.0,64705.89,13459.94,389.27,213.47,0.0008441960969606492
1075,120000,95.0,66930.31,1518.29,0.0,13180.31,1518.29,0.0,0.0,0.0
1075,120000,96.0,67208.5,1564.61,0.0,13458.5,1564.61,0.0,0.0,0.0
1075,120000,97.0,67286.82,1768.03,0.0,13536.82,1768.03,0.0,0.0,0.0
1075,120000,98.0,67796.42,1801.62,0.0,14046.42,1801.62,0.0,0.0,0.0
1075,120000,99.0,68018.12,2062.08,0.0,14268.12,2062.08,0.0,0.0,0.0
1075,120000,100.0,67751.17,2188.05,1.0,14001.17,2188.05,0.03,0.3,1.4759892707387932e-05
1075,120000,101.0,68378.3,2475.52,27.0,14628.3,2475.52,1.0,2.61,0.00039486211268779714
1075,120000,102.0,71693.11,3738.5,86.0,17943.11,3738.5,7.97,6.74,0.0011995573912193236
1075,120000,103.0,79536.49,6044.24,100.0,25786.49,6044.24,31.72,22.61,0.0012572845495193463
1075,120000,104.0,94495.7,10475.92,100.0,40745.7,10475.92,125.28,93.1,0.0010582492113397754
1075,120000,105.0,118382.53,13402.89,100.0,64632.53,13402.89,386.56,214.28,0.000844719233488252
1075,125000,95.0,67015.75,1512.48,0.0,13265.75,1512.48,0.0,0.0,0.0
1075,125000,96.0,67264.65,1597.57,0.0,13514.65,1597.57,0.0,0.0,0.0
1075,125000,97.0,67407.76,1802.19,0.0,13657.76,1802.19,0.0,0.0,0.0
1075,125000,98.0,67818.29,1831.78,0.0,14068.29,1831.78,0.0,0.0,0.0
1075,125000,99.0,67900.52,2027.94,0.0,14150.52,2027.94,0.0,0.0,0.0
1075,125000,100.0,67796.18,2191.27,1.0,14046.18,2191.27,0.03,0.3,1.4750093589343826e-05
1075,125000,101.0,68560.3,2510.02,28.0,14810.3,2510.02,1.0,2.4,0.0004083996131872235
1075,125000,102.0,71681.81,3782.79,87.0,17931.81,3782.79,7.62,6.62,0.001213697031366814
1075,125000,103.0,79653.2,6151.31,100.0,25903.2,6151.31,32.59,22.96,0.0012554423425549758
1075,125000,104.0,94604.97,10501.16,100.0,40854.97,10501.16,123.92,91.16,0.0010570269194102593
1075,125000,105.0,118819.31,12787.1,100.0,65069.31,12787.1,386.8,214.84,0.0008416140440472176
1075,130000,95.0,67144.91,1562.21,0.0,13394.91,1562.21,0.0,0.0,0.0
1075,130000,96.0,67375.16,1607.86,0.0,13625.16,1607.86,0.0,0.0,0.0
1075,130000,97.0,67534.45,1742.32,0.0,13784.45,1742.32,0.0,0.0,0.0
1075,130000,98.0,67862.86,1803.58,0.0,14112.86,1803.58,0.0,0.0,0.0
1075,130000,99.0,68001.89,2022.32,0.0,14251.89,2022.32,0.0,0.0,0.0
1075,130000,100.0,67912.64,2096.18,1.0,14162.64,2096.18,0.03,0.3,1.472479938933312e-05
1075,130000,101.0,68537.97,2509.1,27.0,14787.97,2509.1,0.98,2.16,0.0003939422191815719
1075,130000,102.0,71672.05,3735.64,86.0,17922.05,3735.64,7.32,6.36,0.001199909867235554
1075,130000,103.0,79719.33,6005.28,100.0,25969.33,6005.28,32.48,21.52,0.0012544009087883704
1075,130000,104.0,94741.52,10483.24,100.0,40991.52,10483.24,125.4,93.24,0.0010555034371413927
1075,130000,105.0,118762.84,13029.12,100.0,65012.84,13029.12,388.05,214.48,0.0008420142192625236
1100,90000,95.0,67966.45,1647.38,0.0,12966.45,1647.38,0.0,0.0,0.0
1100,90000,96.0,68208.08,1686.36,0.0,13208.08,1686.36,0.0,0.0,0.0
1100,90000,97.0,68393.13,1782.96,0.0,13393.13,1782.96,0.0,0.0,0.0
1100,90000,98.0,68736.16,1810.58,0.0,13736.16,1810.58,0.0,0.0,0.0
1100,90000,99.0,68870.8,1911.85,0.0,13870.8,1911.85,0.0,0.0,0.0
1100,90000,100.0,68870.46,2052.89,2.0,13870.46,2052.89,0.04,0.28,2.904002674005662e-05
1100,90000,101.0,69654.5,2479.07,26.0,14654.5,2479.07,0.95,2.68,0.00037327093009066175
